CustomerID,recency,frequency,monetary,rfm_score,rfm_segment,segment,future_sales,predicted_future_sales
11012,138,1,74.98,312,Other,Occasional Low-Spenders,6.28,13.1228
11013,110,1,38.98,311,Other,Occasional Low-Spenders,74.98,50.29279999999995
11014,93,2,138.45,342,Other,Occasional Low-Spenders,0.0,20.945500000000003
11021,190,1,2371.96,214,Other,Occasional Low-Spenders,0.0,94.80879999999999
11022,193,1,2322.28,214,Other,Occasional Low-Spenders,0.0,212.31110000000004
11040,120,1,2350.96,314,Other,Occasional Low-Spenders,0.0,0.0
11062,206,1,2351.96,214,Other,Occasional Low-Spenders,0.0,109.3268
11063,201,1,2372.95,214,Other,Occasional Low-Spenders,0.0,72.479
11066,62,1,42.28,411,Other,Occasional Low-Spenders,38.98,35.62099999999994
11084,209,1,2322.28,214,Other,Occasional Low-Spenders,756.33,544.5576000000009
11128,43,1,53.98,412,Other,Occasional Low-Spenders,89.96,62.542300000000026
11129,204,2,5873.26,245,Other,Occasional Low-Spenders,0.0,156.7929
11137,1,1,196.29,512,Other,Occasional Low-Spenders,6.28,20.101059999999983
11144,188,1,2399.97,214,Other,Occasional Low-Spenders,0.0,0.0
11145,188,1,2309.97,214,Other,Occasional Low-Spenders,0.0,307.56019999999995
11152,204,1,2294.99,214,Other,Occasional Low-Spenders,0.0,45.7399
11153,125,2,109.77,342,Other,Occasional Low-Spenders,0.0,16.964700000000004
11154,203,1,2319.99,214,Other,Occasional Low-Spenders,0.0,154.6867
11157,8,1,6.28,511,Other,Occasional Low-Spenders,35.0,17.1325
11167,206,1,2329.99,214,Other,Occasional Low-Spenders,796.34,292.5636000000001
11172,90,1,38.98,311,Other,Occasional Low-Spenders,89.96,67.49200000000002
11173,152,1,35.0,211,Other,Occasional Low-Spenders,67.49,54.6510999999999
11187,120,1,67.49,312,Other,Occasional Low-Spenders,39.99,26.59819999999997
11189,177,2,5944.22,245,Other,Occasional Low-Spenders,0.0,0.0
11192,39,1,38.98,511,Other,Occasional Low-Spenders,74.98,46.48759999999997
11193,157,1,35.0,211,Other,Occasional Low-Spenders,6.28,15.160066666666653
11195,109,1,6.28,311,Other,Occasional Low-Spenders,99.47,59.888430000000014
11196,151,1,2.29,211,Other,Occasional Low-Spenders,159.99,126.20754999999987
11197,12,2,207.56,542,Loyal Customers,Occasional Low-Spenders,0.0,15.294700000000002
11205,5,1,35.0,511,Other,Occasional Low-Spenders,2.29,2.472399999999998
11206,63,2,77.27,442,Loyal Customers,Occasional Low-Spenders,0.0,547.48182
11207,182,1,74.98,212,Other,Occasional Low-Spenders,2.29,2.7792000000000003
11213,126,1,2.29,311,Other,Occasional Low-Spenders,74.98,65.93304809523798
11216,177,2,5948.24,245,Other,Occasional Low-Spenders,0.0,0.0
11217,168,2,5953.25,245,Other,Occasional Low-Spenders,0.0,79.5933
11218,154,1,2.29,211,Other,Occasional Low-Spenders,37.29,123.49314999999987
11224,186,2,5908.25,245,Other,Occasional Low-Spenders,777.34,564.073199999999
11225,40,1,2.29,511,Other,Occasional Low-Spenders,70.96,54.49630000000002
11226,123,2,37.29,341,Other,Occasional Low-Spenders,0.0,8.316
11231,172,1,61.97,212,Other,Occasional Low-Spenders,2.29,7.046750000000002
11235,28,1,74.98,512,Other,Occasional Low-Spenders,63.47,40.27453333333328
11255,123,2,113.96,342,Other,Occasional Low-Spenders,0.0,13.898400000000002
11256,108,1,38.98,311,Other,Occasional Low-Spenders,42.28,41.959400000000045
11259,198,2,5993.26,245,Other,Occasional Low-Spenders,777.34,0.0
11263,216,2,5973.24,245,Other,Occasional Low-Spenders,780.82,620.8022999999998
11264,211,1,2375.95,214,Other,Occasional Low-Spenders,806.32,547.7976999999998
11265,210,1,2351.96,214,Other,Occasional Low-Spenders,0.0,181.35569999999998
11266,193,2,5922.23,245,Other,Occasional Low-Spenders,0.0,199.78659999999996
11274,158,2,5888.24,245,Other,Occasional Low-Spenders,0.0,53.73009999999999
11278,210,2,5908.25,245,Other,Occasional Low-Spenders,0.0,86.522
11279,40,2,44.57,541,Loyal Customers,Occasional Low-Spenders,0.0,30.97139999999997
11280,31,1,74.98,512,Other,Occasional Low-Spenders,2.29,16.67299999999999
11282,211,2,5998.73,245,Other,Occasional Low-Spenders,0.0,0.0
11293,139,2,85.22,342,Other,Occasional Low-Spenders,0.0,15.961400000000001
11296,184,2,5897.53,245,Other,Occasional Low-Spenders,0.0,85.3872
11301,53,1,2.29,411,Other,Occasional Low-Spenders,128.97,91.78379999999999
11302,180,2,5938.19,245,Other,Occasional Low-Spenders,0.0,0.0
11303,159,2,5875.55,245,Other,Occasional Low-Spenders,0.0,11.3552
11304,101,2,122.21,342,Other,Occasional Low-Spenders,0.0,8.6987
11309,23,1,39.99,511,Other,Occasional Low-Spenders,2.29,28.15126499999998
11311,105,1,74.98,312,Other,Occasional Low-Spenders,2.29,6.169300000000003
11312,60,2,42.28,441,Loyal Customers,Occasional Low-Spenders,0.0,18.055400000000006
11313,86,1,42.28,311,Other,Occasional Low-Spenders,2.29,4.289500000000003
11314,157,1,37.29,211,Other,Occasional Low-Spenders,10.24,19.06078
11315,73,1,39.99,411,Other,Occasional Low-Spenders,2.29,3.4182000000000063
11317,164,2,5873.26,245,Other,Occasional Low-Spenders,0.0,28.388
11321,65,2,37.29,441,Loyal Customers,Occasional Low-Spenders,0.0,4.0523
11322,72,2,44.57,441,Loyal Customers,Occasional Low-Spenders,0.0,4.4773000000000005
11325,182,2,6044.2,245,Other,Occasional Low-Spenders,0.0,0.0
11508,79,2,77.27,442,Loyal Customers,Occasional Low-Spenders,0.0,2.6284000000000005
11511,141,1,35.0,211,Other,Occasional Low-Spenders,0.0,9.0592
11514,38,1,39.99,511,Other,Occasional Low-Spenders,0.0,5.5028
11521,149,1,2.29,211,Other,Occasional Low-Spenders,42.28,67.22264999999993
11522,181,2,5888.24,245,Other,Occasional Low-Spenders,0.0,69.15669999999999
11525,160,2,5935.55,245,Other,Occasional Low-Spenders,0.0,0.0
11529,178,2,5944.21,245,Other,Occasional Low-Spenders,0.0,0.0
11532,118,1,2.29,311,Other,Occasional Low-Spenders,42.28,36.26950000000004
11535,139,2,5919.21,345,Other,Occasional Low-Spenders,0.0,138.72029999999992
11541,110,2,5973.24,345,Other,Occasional Low-Spenders,0.0,83.987
11620,5,2,44.57,541,Loyal Customers,Occasional Low-Spenders,0.0,8.6395
11622,47,2,133.75,442,Loyal Customers,Occasional Low-Spenders,0.0,12.0264
11630,96,2,5933.26,345,Other,Occasional Low-Spenders,0.0,0.0
